职位名称,公司名称,工作地点,薪资,工作经验,学历要求
软件开发（多语言 Java Python C/C++js等测试,外企德科数字技术有限公司,苏州·工业园区,1.2-2.4万,经验不限,本科
软件开发（多语言 Java Python C/C++js等测试,外企德科数字技术有限公司,苏州·工业园区,1.2-2.4万,经验不限,本科
python软件工程师,中工创智信息科技(江苏)有限公司,徐州·泉山区·泰山街道,8000-10000元,1-3年,大专
python软件工程师,中工创智信息科技(江苏)有限公司,徐州·泉山区·泰山街道,8000-10000元,1-3年,大专
python爬虫策略 五险一金 周末双休,深圳市法本信息技术股份有限公司,杭州·余杭·五常,1-1.2万,1-3年,本科
python爬虫策略 五险一金 周末双休,深圳市法本信息技术股份有限公司,杭州·余杭·五常,1-1.2万,1-3年,本科
软件开发（多语言 Java Python C/C++js等测试,外企德科数字技术有限公司,西安·雁塔·漳浒寨,1.2-2.4万,经验不限,本科
软件开发（多语言 Java Python C/C++js等测试,外企德科数字技术有限公司,西安·雁塔·漳浒寨,1.2-2.4万,经验不限,本科
急聘 python自动化测试+线上面试,软通动力信息技术(集团)股份有限公司,东莞·大朗镇,9000-17000元,1-3年,本科
急聘 python自动化测试+线上面试,软通动力信息技术(集团)股份有限公司,东莞·大朗镇,9000-17000元,1-3年,本科
Python/RPA开发工程师（工作地：福州市）,北京法意科技有限公司,福州·闽侯·荆溪,1.5-2万,3-5年,本科
